product,product_uom_qty,name,location_dest_id/id,location_id/id,product_uom/id
215/40 WR18 ATR SPORT,18,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/45 R17 ACHILLES 2233,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/45 R17 MY02,9,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/45 WR17 ATR SPORT,7,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/45 WR17 RE-002 ADRENALIN,2,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/50 R17 ACHILLES 2233,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/50 VR17 AR-20,11,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/50 WR17 ATR SPORT,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/55 R17 MY02,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/55 R18 RE-002 ADRENALIN,7,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/55 VR16 AR-20,19,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/55 VR17 AR-20,12,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/55 VR17 ER-33,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/55 WR16 RE-002 ADRENALIN,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/55 WR17 ATR SPORT,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/60 HR16 RE-002 ADRENALIN,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/60 HR17 D-687,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/60 VR16 AR-20,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/60 VR16 ATR SPORT,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/65 HR16 D-684,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/65 HR16 D-689,12,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/65 HR16 ST20 DUNLOP,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/65 SR16 ST20 DUNLOP,10,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/65 VR15 AR-20,3,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/65 VR16 AR-20,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/70 HR15 GR50,12,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/70 R16 MA-707 MAXXIS,8,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/70 SR15 D-689,7,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
215/70 SR16 D-687,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/40 R18 ACHILLES 2233,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/40 SR18 707 DUNLOP,1,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/40 WR18 RE-002 ADRENALIN,2,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/40 WR18 RE-050 RFT,2,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/45 R17 MY02,10,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/45 VR17 RFT RE 050,6,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/45 WR 17 RE050 A RFT,0,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/45 WR17 ATR SPORT,10,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/45 WR17 RE-002 ADRENALIN,5,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/45 WR18 RE-002 ADRENALIN,4,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/45 ZR17 2233 ACHILLES,9,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
225/50 R17 ATR SPORT,3,INV:init stock,stock.stock_location_stock,stock.location_inventory,product.product_uom_unit
